Ticker,PBV x ROE,Close Price,Price to Equity Discount (%),Relative PE ratio (TTM),EPS Growth,Debt to Total Assets Ratio,Liquidity Differential,CCE,Operating Efficiency,Dividend Payout Efficiency,Yearly Price Change,Composite Rank,Net Debt to Equity
AUTO,0.11848875963225758,2830.0,17.23537219524727,0.47645210388878667,0.1719052563912377,0.024720096658955807,2.025255328393455,0.17990080774544576,0.052040662240175985,0.4968834829722546,0.2981651376146789,0.694,-0.23176007937602816
AVIA,0.3660545170491034,330.0,-49.1975486242382,0.8212939569396115,-0.0015597775828607035,0.001996137413824001,5.1512304261688335,0.190693125562813,0.25280039696676676,0.7377322823305281,-0.22897196261682243,0.5994,-0.22106238026203887
AWAN,,156.0,,,,,,,,,-0.41353383458646614,0.3818,
AXIO,,114.0,,,,,,,,,-0.09523809523809523,0.4193,
AYAM,0.07687519959462076,458.0,-88.31315441063605,73.89803101182046,0.5342474353404133,0.0761883968845916,0.9952928139627445,0.0053077031242310035,0.0999205799642115,0.0,1.6783625730994152,0.2549,0.1722963047852359
AYLS,,162.0,,,,,,,,,0.5728155339805825,0.1209,
BABP,0.01267482452992709,50.0,70.53031220516147,2.1050800011031496,0.07960016506946674,,,0.09009673540046688,,0.0,-0.038461538461538464,0.4905,-0.5153111359255546
BABY,,186.0,,,,,,,,,-0.4431137724550898,0.3797,
BACA,0.00696904194889598,120.0,184.43335416594388,1.37619384522516,0.4497737556561086,0.0013112654164290903,,0.07989416460333205,,0.0,-0.07692307692307693,0.6196,-0.29545808617949665
BAIK,,770.0,,,,,,,,,7.191489361702128,0.461,
BAJA,0.5170839105086076,362.0,-93.45002135393115,34.97622568166533,8.90380162652421,0.5457996624565902,0.8632714072779998,0.03145854831854224,0.11054156991356402,0.0,1.7633587786259541,0.3119,9.27275083480414
BALI,0.1403137433753745,1210.0,-48.93439429622387,2.1205892185895374,-0.2624507835794975,0.5467451362869535,0.6292577999747034,0.0532831054226345,0.4302423482650031,0.6776082705178624,-0.07279693486590039,0.5104,1.30990699500327
BANK,0.03872620661253375,272.0,-13.67680640458493,2.688770775343184,-0.5499880482849289,0.0666080703029565,,0.20362661255847886,,0.0,-0.6682926829268293,0.4936,-0.6271388913070814
BAPA,-0.039518382467337305,157.0,8.478855592149385,-1.6684929863397886,0.48551753564702477,0.023360322994365187,1.6766864798412457,0.001891337723399199,-0.8439584143718272,0.0,2.14,0.4013,0.02446203504126729
BAPI,,19.0,,,,,,,,,1.1111111111111112,0.0866,
BATA,-0.2989158258395918,59.0,-330.7867893209724,-0.048735220534751426,-0.26913395621354563,0.5224312099782256,0.46759716494992615,0.09880202416073586,-0.38797127085366667,0.0,0.1568627450980392,0.4456,-0.6493861924675698
BATR,,95.0,,,,,,,,,-0.07766990291262135,0.2406,
BAUT,,38.0,,,,,,,,,0.15151515151515152,0.1754,
BAYU,,1180.0,,,,,,,,,-0.078125,0.3283,
BBCA,0.6317889160518146,6425.0,-65.73522641609404,1.046034479504088,0.049779830258888456,0.0013174492495310684,,0.05763842288351829,,0.7469802695139467,-0.24853801169590642,0.4728,-0.345830109098425
BBHI,0.19919109079039343,915.0,-62.89013475022551,2.82855788465233,0.15169829235332197,0.0006086394112841511,,0.15429192107430736,,0.5290884930860849,-0.4263322884012539,0.4404,-0.32601892369584673
BBKP,0.028696968284289356,56.0,-23.305298233444447,4.596708793575356,1.0028869855985874,0.2542588912364084,,0.09367175294525568,,0.0,-0.06666666666666667,0.4764,1.7231327051641299
BBLD,0.0016522524783218941,610.0,42.21818195440092,23.218121434533447,-0.5063071976255256,0.7960686436422219,2.4849139290677114,0.07577378865025086,-0.03124690758813079,1.2263756435366837,-0.3333333333333333,0.3118,3.862672024171808
